danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,names
0.842,0.745,-4.231,0.0399,0.281,2.61e-05,0.118,0.53,122.06,4nrPB8O7Y7wsOCJdgXkthe,214945,"Shakira: Bzrp Music Sessions, Vol. 53"
0.794,0.832,-4.862,0.0407,0.237,1.14e-05,0.203,0.871,107.657,2lnzGkdtDj5mtlcOW2yRtG,196160,"Whenever, Wherever"
0.71,0.871,-5.037,0.0503,0.0116,3e-06,0.108,0.829,126.957,63Tl9k1sH8tznn3bqoMuyF,183947,Waka Waka (This Time for Africa) - K-Mix
0.79,0.832,-5.291,0.103,0.0996,0,0.763,0.623,99.502,1zCQXSnLkfXq3TzMLr6pWf,149577,Shakira!
0.764,0.887,-6.088,0.176,0.00987,0,0.0585,0.816,126.974,2RB1n3NWUmG5X0rdihAQ3e,202467,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
0.852,0.773,-2.921,0.0776,0.187,3.05e-05,0.159,0.907,102.034,6mICuAdrwEjh6Y6lroV2Kg,195840,Chantaje (feat. Maluma)
0.783,0.806,-5.449,0.0763,0.179,0.000113,0.341,0.576,127.98,2A17TySL9lcoRTA28w9yfB,197680,La La La (Brazil 2014) (feat. Carlinhos Brown)
0.732,0.872,-5.77,0.0481,0.000869,0.906,0.151,0.483,124.971,4k6yBchqc9UU6l8H8wTfAp,141600,Shakira Shakira
0.587,0.647,-3.385,0.327,0.619,0,0.106,0.686,90.123,0DWdj2oZMBFSzRsi2Cvfzf,197933,TQG
0.694,0.81,-3.556,0.0661,0.122,0,0.141,0.824,137.968,2Sh4sAOfnSHEVKFyysxzat,206867,Can't Remember to Forget You (feat. Rihanna)
0.694,0.81,-3.556,0.0661,0.122,0,0.141,0.824,137.968,7o1Pm9jpH0wFpN5g793Lnq,206867,Can't Remember to Forget You (feat. Rihanna)
0.697,0.91,-3.92,0.247,0.00271,0,0.147,0.623,127.031,1ZlHr9FYHT7YTbXCoxPq5C,201773,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
0.8,0.874,-3.955,0.0667,0.186,1.77e-05,0.0877,0.85,112.003,6YMPu36VGIknb8Ey1ohW3j,193160,Loca (feat. Dizzee Rascal)
0.704,0.598,-4.922,0.0309,0.0283,0,0.106,0.472,115.483,4DEuHSNytLmOz75w8vFpga,196707,"Try Everything - aus ""Zoomania"""
0.865,0.69,-7.448,0.0443,0.285,0.0162,0.225,0.867,121.983,4cS2HQ6jK80vqdY9ofpztx,188867,She Wolf
0.841,0.752,-4.735,0.105,0.167,0.00046,0.949,0.67,100.076,3OJDtCdYs8QJnui708tEU3,214643,Soltera
0.8,0.692,-5.57,0.0614,0.342,1.92e-06,0.0554,0.917,112.002,42k1KeBehAd83lrGt1okiC,183693,Loca (feat. El Cata)
0.705,0.609,-4.897,0.0307,0.0257,0,0.0846,0.476,115.474,4XAOFJ9F10fdu3mVdqlUFd,196853,Try Everything
0.765,0.754,-3.736,0.0764,0.0053,0.000286,0.157,0.404,91.973,76Y07hjDi7fjJnZKsQbEaF,199840,Beautiful Liar
0.799,0.748,-5.128,0.0894,0.0975,1.67e-05,0.092,0.617,128.021,0F6thtSISbps8VCdF6dhSk,186333,La La La
0.74,0.783,-5.367,0.0427,0.0297,0.000308,0.123,0.812,100.011,5BSclXJTa9B0iURhUjZo50,212893,La Tortura (feat. Alejandro Sanz)
0.965,0.485,-8.784,0.191,0.0206,0.0237,0.0655,0.312,124.025,1zLBsSVxETQOfINOLYvT5m,222523,GIRL LIKE ME
0.816,0.875,-4.821,0.0311,0.203,0,0.209,0.491,131.958,0gYXw7aPoybWFfB7btQ0eM,196364,DON'T YOU WORRY
0.834,0.823,-4.918,0.114,0.062,0,0.185,0.763,133.039,2Xh7dyCHCErCv3PmdVEGw4,170600,Rabiosa (feat. Pitbull)
0.616,0.597,-5.328,0.0415,0.691,0,0.104,0.362,165.508,15f8Cv8RXUlOOCIf2oaceN,224067,Underneath Your Clothes
0.745,0.944,-3.959,0.134,0.21,1.45e-06,0.333,0.951,179.991,0Gx4VrHzS7pZOEAGrmXXBH,229510,La Bicicleta
0.764,0.887,-6.088,0.176,0.00987,0,0.0585,0.817,126.974,3bnlKtMaT1JenMM90AkgmN,202467,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)
0.873,0.695,-4.207,0.0459,0.419,1.23e-06,0.211,0.823,131.963,6G12ZafqofSq7YtrMqUm76,158805,Monotonía
0.891,0.809,-5.753,0.0756,0.0407,0.136,0.0743,0.967,126.023,4zy1s9GnxWsNzZp1688euA,147480,Addicted to You
