,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
13,0.689,0.735,-4.545,0.267,0.00922,0.00072,0.365,0.059,171.403,320627,1,7MJQ9Nfxzh8LPZ9e9u68Fq,Lose Yourself
14,0.686,0.735,-4.616,0.264,0.00921,0.00066,0.342,0.0596,171.355,322227,1,1v7L65Lzy0j0vdpRjJewt1,Lose Yourself
15,0.784,0.522,-7.057,0.155,0.0913,2.43e-05,0.139,0.436,95.047,146573,5,4lsNo2CCp2dUbsuOmdCj5I,2000
16,0.869,0.68,-6.233,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,1,75IN3CtuZwTHTnZvYM4qnJ,My Name Is
17,0.936,0.878,-2.798,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,227032,2,1CDQzbCz4KSQxHe7LMEgRM,Houdini
18,0.781,0.853,-3.68,0.0714,0.0526,0.0,0.12,0.626,110.046,250189,2,48RrDBpOSSl1aLVCalGl5C,The Monster
19,0.901,0.813,-4.509,0.199,0.0325,1.09e-05,0.144,0.502,96.442,251720,2,0x60P5taxdI5pcGbqbap6S,Business
20,0.75,0.789,-5.058,0.0647,0.0148,0.0,0.501,0.467,135.954,269573,1,3kpYJjvM8Ja6btr5hEJLWc,Venom - Music From The Motion Picture
21,0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.0426,0.185,163.961,339547,1,3CpoeW0cZSDzIRv5z34F87,Sing For The Moment
22,0.748,0.749,-5.916,0.516,0.142,0.0,0.0713,0.659,90.09,221013,2,1cS0TgbR263ey9jn0MwD2s,River (feat. Ed Sheeran)
23,0.749,0.794,-5.063,0.064,0.0193,0.0,0.543,0.46,135.959,269554,1,2SL6oP2YAEQbqsrkOzRGO4,Venom - Music From The Motion Picture
24,0.772,0.821,-0.14,0.25,0.223,0.0,0.148,0.77,91.921,244200,2,1SWVDBtw6h3tm9OehOkDhv,What's The Difference
25,0.618,0.746,-5.476,0.352,0.0553,0.0,0.273,0.75,75.272,281320,1,4CDIEKHMb2MBgvgHBkhiJD,When I'm Gone
26,0.911,0.644,-3.237,0.061,0.00271,0.0,0.234,0.665,112.252,290120,1,2YaiY5Cr8IFv0X0YRZDNzV,Without Me
27,0.924,0.74,-1.299,0.0774,0.0827,0.0,0.163,0.621,133.974,222293,2,7iXF2W9vKmDoGAhlHdpyIa,Forgot About Dre
28,0.918,0.586,-2.89,0.133,0.0783,0.0,0.145,0.779,95.517,288200,1,7lgvU7WnwcNZ8dbGUz8yhP,Bitch Please II
29,0.74,0.94,-4.195,0.285,0.125,8.33e-05,0.132,0.489,89.981,359400,1,5NmL2zxnlt9GiTB2TQbvFM,8 Mile
30,0.577,0.657,-6.486,0.129,0.697,3.2e-06,0.116,0.437,180.727,230199,2,4HMUrFl8y6rQCzEbaGEkcj,Somebody Save Me
31,0.574,0.439,-10.311,0.2,0.511,0.0,0.71,0.395,78.302,297668,1,6uMGHQvhZq8YyT4kdnG1L3,Temporary
32,0.908,0.758,-4.753,0.174,0.0687,0.0,0.0783,0.87,148.015,297840,1,7BMO7O7ImjV8HNTH74Tshv,Cleanin' Out My Closet
33,0.692,0.744,-4.565,0.257,0.00868,0.000423,0.359,0.0612,171.374,326467,1,5Z01UMMf7V1o0MzF86s6WJ,Lose Yourself
34,0.777,0.716,-5.327,0.347,0.294,0.0,0.665,0.593,95.756,159787,5,5CsDo9j3N4yFZNCN1h9loS,Never Enough
35,0.916,0.855,-5.006,0.209,0.208,0.0,0.0935,0.571,104.307,185457,0,7gXM8fCGg0SmRzAVySp3ie,Murdergram Deux (feat. Eminem)
